ID,Name,Email,Role,Allowed_Usage_Hours,Actual_Usage_Hours
571b42e3,Nicole Reyes,paulperez@example.org,Worker,0.5,2.17
58d5aab1,Thomas Henry,ricardoharding@example.net,Worker,0.5,1.11
97388d36,Laurie Fisher,adamsemily@example.com,Worker,0.5,2.7
2f9d754c,Mr. James Craig,christina55@example.net,Worker,0.5,1.83
0833195e,Gwendolyn Frey,patriciaharris@example.net,Worker,0.5,0.81
1e19c1e9,Kathleen Williams,kennethlogan@example.net,Worker,0.5,2.69
32fd1ebf,Matthew Hale,welchjames@example.org,Worker,0.5,2.55
575e7d5a,Kimberly Bradley,robertsryan@example.com,Worker,0.5,1.46
a99b58e0,Donald Gomez,logandouglas@example.net,Worker,0.5,1.2
8062716b,Donna Arnold,ariasdanielle@example.net,Worker,0.5,1.64
fb268422,Misty Atkins,tfernandez@example.org,Worker,0.5,2.89
2a6129fa,Ryan Tran,sarah68@example.org,Worker,0.5,1.28
62ac1d5a,Jennifer Davidson,alicia30@example.net,Worker,0.5,2.85
7459ec37,James Davis,pferguson@example.com,Worker,0.5,1.85
83e233fb,Brittany Schroeder,deancunningham@example.com,Worker,0.5,2.42
3182a888,Michael May,tony13@example.org,Worker,0.5,0.81
3307f3f6,Mr. Sean Gonzalez MD,alan57@example.org,Worker,0.5,2.36
8531b79e,Joshua Hernandez,jlogan@example.com,Worker,0.5,1.98
196af0f7,Janet Marks,amymoss@example.net,Worker,0.5,2.85
bdef69c4,Jessica Hess,johnsmith@example.net,Worker,0.5,0.57
8ee0f965,Samantha Hart,petersonronald@example.net,Worker,0.5,1.19
23f0c583,Robert Jones,smithamy@example.com,Worker,0.5,0.88
ad489b1f,Patricia Shaw,richard17@example.com,Worker,0.5,2.85
e8e7bd07,Holly Sullivan,cphillips@example.net,Worker,0.5,2.46
a60cc503,Joshua Harper,ricardothompson@example.org,Worker,0.5,1.62
a6151e7f,Mrs. Andrea Charles,paulthompson@example.net,Worker,0.5,0.53
8e221567,Ryan Charles,xwebb@example.com,Worker,0.5,2.51
8059c3e6,Benjamin Gonzalez,solissharon@example.com,Worker,0.5,1.86
a70aa9b6,Melanie Hurst,sharpsharon@example.org,Worker,0.5,0.87
376ec200,Nathan Clark,squinn@example.com,Worker,0.5,0.81
b3dbd2ee,Charles Curtis,sphelps@example.com,Worker,0.5,2.29
76f16406,Nicholas Mendez,bethanybuchanan@example.org,Worker,0.5,1.86
a1bf7f6f,Theresa Rocha,adamsdillon@example.net,Worker,0.5,2.28
efe36c64,Kelly Tran,richardjimenez@example.net,Worker,0.5,1.44
19772f51,Jennifer Carpenter,jessica08@example.org,Worker,0.5,1.16
a456d3a0,Marissa Gardner,lauren22@example.com,Worker,0.5,0.79
45c48654,Timothy White,melissarussell@example.com,Worker,0.5,2.01
ebdbad4b,Kelsey Chandler,brian74@example.org,Worker,0.5,1.82
760b9d69,Adriana Ferguson,martin95@example.net,Worker,0.5,1.14
e60af7ef,Mrs. Caitlin Johnson,john56@example.net,Worker,0.5,1.53
9eb075e9,Steven Gray,baileyabigail@example.org,Worker,0.5,0.95
8a31486b,Amy Acosta,christopher19@example.org,Worker,0.5,1.3
3ded0c74,Jeffrey Morales,brookejones@example.org,Worker,0.5,1.57
e020de7b,Clinton Rowe,hcameron@example.com,Worker,0.5,2.45
9fe50cf5,Kevin Harris,jennasimon@example.com,Worker,0.5,2.61
6a96f767,Pedro Smith,josephturner@example.org,Worker,0.5,0.81
7e948c59,Brenda Velazquez PhD,stanleyjoseph@example.org,Worker,0.5,2.4
6c21349c,Alexander Jones,turnerleslie@example.org,Worker,0.5,2.28
29b56b69,Megan Rodriguez,michealturner@example.net,Worker,0.5,0.7
518a4b68,Daniel Evans,donaldbeltran@example.com,Worker,0.5,2.45
4c735c81,Stephanie Fisher,morrisjonathan@example.org,Worker,0.5,0.57
7462c625,Justin Blackburn,catherine33@example.net,Worker,0.5,0.56
2dda1343,Chris Moore,crystalhensley@example.com,Worker,0.5,2.05
062a336b,Mark Booker,julia37@example.org,Worker,0.5,2.65
fcf4076c,Robert Hernandez,savannah13@example.com,Worker,0.5,1.53
41af5713,Caleb Burch,grosspaula@example.net,Worker,0.5,1.41
77969b02,Lisa Bond,kimberly43@example.org,Worker,0.5,2.17
b47fedae,Thomas Reid,lisa06@example.com,Worker,0.5,2.11
0f5b7afe,Noah Watts,asmith@example.org,Worker,0.5,1.5
cb5053d5,Juan Johnson,daniellecampbell@example.com,Worker,0.5,2.77
0114b9a9,Karen Buck,lesliekaufman@example.org,Worker,0.5,1.84
76472825,Christopher Hernandez,josephhernandez@example.org,Worker,0.5,1.06
1ef2bec7,Debra Butler,fwang@example.net,Worker,0.5,1.55
0c15bc7c,Jasmine Gutierrez,xparks@example.net,Worker,0.5,2.01
c7914fd2,Charles Ryan,craigkenneth@example.org,Worker,0.5,2.53
da6c30d0,Kimberly Fernandez,ijones@example.org,Worker,0.5,2.97
0ea76e7f,Gregory Taylor,marcusbailey@example.net,Worker,0.5,1.0
ceef391f,Alejandro Gentry,matthew17@example.com,Worker,0.5,0.6
36a2314b,Adam Robinson,margaret48@example.com,Worker,0.5,1.63
048e405b,Michael Harding,ericamaldonado@example.org,Worker,0.5,1.22
2494cfb1,Karen Herman,sdean@example.net,Worker,0.5,0.54
a4213af3,Arthur Woods,diana61@example.com,Worker,0.5,0.83
eb49fb8f,Zachary Schmidt,vosborne@example.com,Worker,0.5,2.16
b534fa54,Mary Nolan,penamatthew@example.org,Worker,0.5,0.87
f53b3bd9,Maureen Hubbard,dawn30@example.net,Worker,0.5,0.83
9a4a59cf,Jennifer Bryant,julieballard@example.org,Worker,0.5,1.8
2e08360d,Crystal Stevens,ppatterson@example.net,Worker,0.5,0.71
55467e84,Roger Mann,wferguson@example.net,Worker,0.5,1.34
fbf04244,Joseph Jackson,sarah32@example.net,Worker,0.5,1.83
dbbe895f,Abigail Clark,eyoung@example.org,Worker,0.5,1.44
99d82cbc,Shirley Nichols,cdavis@example.com,Worker,0.5,2.9
ac315923,April Monroe,mariahlee@example.com,Worker,0.5,1.27
129259f6,Ms. Jody Smith DVM,lisacox@example.org,Worker,0.5,2.68
ad2f42ff,Kevin Young,jessicawarren@example.org,Worker,0.5,1.51
8654f6f6,Joshua Harvey,lucasbriggs@example.com,Worker,0.5,1.91
61999e70,Alexander Brooks,amcgrath@example.org,Worker,0.5,2.23
c9f6af3d,Ralph Pierce,nicholas99@example.net,Worker,0.5,2.69
906f4623,Kayla Garcia,xcobb@example.net,Worker,0.5,2.72
caa10970,Derek Russell,mgallegos@example.org,Worker,0.5,2.65
c1d8d12d,Madison Curtis,vmartinez@example.com,Worker,0.5,2.33
141bcac8,Emily Baker,awong@example.net,Worker,0.5,0.58
af3a61d7,Cory Moore,matthewwood@example.org,Worker,0.5,1.76
b137047a,Chelsea Wood,emeyer@example.com,Worker,0.5,2.83
4fbc1ee6,Jennifer Stephens,mark95@example.org,Worker,0.5,2.39
4fcc0995,Joseph Massey,bbarber@example.com,Worker,0.5,1.98
75d89e25,Julie Johnson,fandrews@example.com,Worker,0.5,1.16
a6b7b175,Shannon Hanson,lsmith@example.com,Worker,0.5,1.93
16aac747,Dawn Lewis,laurataylor@example.com,Worker,0.5,1.7
67de988f,Angelica Garcia,lopezrebecca@example.com,Worker,0.5,1.54
dee277c3,Barbara Carlson,stephen59@example.org,Worker,0.5,2.27
abe63e1f,Susan Grimes,hkelly@example.org,Worker,0.5,2.64
6f2f6518,Joseph Hamilton,frazierluis@example.org,Worker,0.5,2.05
7f0e8807,Alexander Hernandez,carolbrown@example.net,Worker,0.5,1.26
42f3c808,Christopher Allen,williamsthomas@example.net,Worker,0.5,0.72
